                                                   distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.00e02_nm_output_analysis; 0.0000000e+00; 2.4464355e-03; 1.4760524e-03; 2.4461918e-03; 1.2258434e+04; 1.1888338e+04; 2.7352206e+03
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_1.25e01_nm_output_analysis; 0.0000000e+00; 1.1940019e-01; 9.5336550e-02; 1.1940016e-01; 4.1032693e+04; 3.1870632e+04; 9.1556277e+03
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.00e02_nm_output_analysis; 3.5083673e-03; 1.2787368e-02; 1.4214770e-02; 2.9465362e-02; 1.2997528e+04; 9.9976119e+03; 1.9808722e+03
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_2.50e01_nm_output_analysis; 1.0287346e+00; 1.2960596e-01; 2.4190117e-02; 2.1236485e-02; 5.4892934e+04; 1.4846483e+04; 3.2325815e+03
RRDD-R_a3_1.50e00_nm_d_1.28e16_m-2_s_5.00e01_nm_output_analysis; 2.3289344e-01; 3.9020333e-02; 8.8108089e-03; 2.3646064e-02; 1.9655382e+04; 1.0857632e+04; 2.1546219e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_1.00e02_nm_output_analysis; 0.0000000e+00; 1.2269300e-02; 2.4345464e-03; 1.2268718e-02; 1.5291980e+04; 1.4133041e+04; 3.4120851e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.00e02_nm_output_analysis; 3.6967828e-03; 4.0839705e-02; 1.2808622e-02; 3.0595602e-03; 1.9620137e+04; 1.5066919e+04; 3.1264135e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_2.50e01_nm_output_analysis; 0.0000000e+00; 1.3793650e-01; 6.2151036e-02; 1.3793646e-01; 5.3654705e+04; 2.4517441e+04; 1.1971978e+04
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_4.00e02_nm_output_analysis; 8.1772770e-03; 2.4695130e-02; 6.2757439e-03; 5.9823149e-02; 1.7049296e+04; 1.2859299e+04; 1.9616296e+03
RRDD-R_a3_1.80e00_nm_d_3.20e15_m-2_s_5.00e01_nm_output_analysis; 2.6593189e-03; 5.8418463e-02; 2.8394929e-02; 3.2001005e-02; 2.2655088e+04; 1.7064909e+04; 3.9333157e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_output_analysis; 1.3933403e-04; 9.4185747e-03; 2.6430225e-03; 8.4153279e-03; 1.6845531e+04; 1.6026954e+04; 3.7298116e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_output_analysis; 4.7158965e-03; 3.2355719e-03; 1.2681446e-02; 4.0742855e-02; 1.5654444e+04; 1.3713198e+04; 2.5432662e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_output_analysis; 1.1952052e-01; 4.8276188e-04; 9.7008929e-03; 1.4948023e-01; 1.4993408e+04; 1.3784105e+04; 1.3802766e+03
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_output_analysis; 2.4728057e+00; 1.4681903e-01; 6.1351324e-02; 1.6915601e-01; 6.8524293e+04; 2.5994253e+04; 1.7040957e+04
RRDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_output_analysis; 1.1969020e-02; 1.1155718e-02; 1.1943155e-02; 9.3780266e-02; 1.9119514e+04; 1.5533834e+04; 2.0700225e+03
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_output_analysis; 2.1801687e-02; 6.6378300e-03; 1.6111950e-03; 1.1843108e-01; 1.6189689e+04; 1.5254963e+04; 2.0866874e+03
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 4.2621438e-02; 2.1260005e-02; 4.5895036e-02; 3.0598244e-01; 2.0870468e+04; 2.3867126e+04; 1.3435176e+03
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_output_analysis; 6.3066007e-01; 4.7518487e-02; 5.2373840e-02; 4.0780655e-02; 2.2116466e+04; 2.1166616e+04; 4.1936514e+03
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_output_analysis; 5.5956952e-03; 7.0693042e-03; 1.1255176e-02; 3.7157727e-02; 1.4186021e+04; 1.3563960e+04; 2.7051843e+03
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_output_analysis; 7.9932503e-03; 1.1856422e-02; 4.2388786e-02; 6.2160712e-02; 1.3619999e+04; 1.0623541e+04; 2.3824087e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_output_analysis; 3.7741952e-19; 1.9376771e-01; 4.7048494e-02; 1.9485982e-01; 7.8263052e+04; 1.9219053e+04; 1.7720221e+04
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_output_analysis; 2.3037489e-02; 8.6732266e-03; 1.6118445e-02; 7.2211213e-02; 1.0357986e+04; 8.6924087e+03; 1.4435298e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_output_analysis; 1.4375949e-16; 8.1325655e-02; 1.8126866e-02; 8.1319654e-02; 2.1268840e+04; 1.3368418e+04; 4.7454928e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_output_analysis; 0.0000000e+00; 4.8625929e-02; 2.3607205e-02; 4.8615853e-02; 1.5365289e+04; 1.2933771e+04; 3.4282011e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_output_analysis; 9.2780886e-03; 7.2640826e-03; 1.1441055e-02; 7.5861783e-02; 1.2194296e+04; 1.0604713e+04; 1.6619292e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_output_analysis; 6.8029708e-01; 2.3177435e-02; 1.5394979e-02; 3.2292664e-02; 1.3152698e+04; 1.2360091e+04; 3.0323455e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_output_analysis; 1.9204612e+00; 1.7803364e-01; 1.6944839e-02; 1.9874904e-01; 6.0413602e+04; 1.3136294e+04; 1.5473832e+04
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_output_analysis; 2.6023685e-01; 1.3430160e-02; 3.9941187e-03; 2.1800339e-02; 1.0638127e+04; 1.0015522e+04; 2.4571176e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_output_analysis; 1.5398734e+00; 3.8731693e-02; 2.5576589e-02; 5.0118881e-02; 1.5668737e+04; 1.3945852e+04; 3.6234399e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_output_analysis; 1.3611900e+00; 5.9901310e-02; 2.0315105e-02; 5.0884203e-02; 1.5785931e+04; 1.1502782e+04; 3.0732459e+03
